dataset_uri,title,description,issued,modified,created,publisher,accrualPeriodicity,subject,landingPage
https://data.gov.in/resource/variety-wise-daily-market-prices-data-commodity,Variety-wise Daily Market Prices Data of Commodity,Current daily price of various commodities from various markets (Mandi),2024-06-02,2025-06-27,2024-05-21,Ministry of Agriculture and Farmers Welfare;Department of Agriculture and Farmers Welfare;Directorate of Marketing and Inspection (DMI),http://purl.org/cld/freq/daily,Agriculture;Agricultural Marketing,https://data.gov.in/resource/variety-wise-daily-market-prices-data-commodity
https://data.gov.in/resource/kisan-call-centre-kcc-transcripts-farmers-queries-answers,Kisan Call Centre (KCC) - Transcripts of farmers queries & answers,District wise and month wise queries of farmers in Kisan Call Centre (KCC) ,2024-07-12,2025-06-27,2024-07-12,Ministry of Agriculture and Farmers Welfare;Department of Agriculture and Farmers Welfare,http://purl.org/cld/freq/daily,Agriculture,https://data.gov.in/resource/kisan-call-centre-kcc-transcripts-farmers-queries-answers
